title,link,cited,relatedLink,position,publishedData
An open software-open hardware lab of the air levitation system,https://www.sciencedirect.com/science/article/pii/S2405896317323364,Cited by 10,"https://scholar.google.com/scholar?q=related:tV05CmitH1cJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",54,"J Saenz, J Chacon, L de la Torre, S Dormido - IFAC-PapersOnLine, 2017 - Elsevier"
Open hardware portable dual-probe heat-pulse sensor for measuring soil thermal properties and water content,https://www.sciencedirect.com/science/article/pii/S0168169916301922,Cited by 13,"https://scholar.google.com/scholar?q=related:9UPxaq1w7JMJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",55,"G Ravazzani - Computers and Electronics in Agriculture, 2017 - Elsevier"
Open hardware,https://www.timreview.ca/article/76,Cited by 4,"https://scholar.google.com/scholar?q=related:7FBAScevRCkJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",56,"P McNamara - Open Source Business Resource, 2007 - timreview.ca"
"Sharing open hardware through rop, the robotic open platform",https://link.springer.com/chapter/10.1007/978-3-662-44468-9_53,Cited by 11,"https://scholar.google.com/scholar?q=related:4d0_iltlZmYJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",57,"J Lunenburg, R Soetens, F Schoenmakers… - Robot Soccer World …, 2013 - Springer"
Heterodyne interferometry for the detection of elastic waves: a tutorial and open-hardware project,https://iopscience.iop.org/article/10.1088/0143-0807/36/3/035011/meta,Cited by 11,"https://scholar.google.com/scholar?q=related:tprIVJJtT6wJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",58,"S Hitchman, K van Wijk, N Broderick… - European Journal of …, 2015 - iopscience.iop.org"
A proposal for teaching programming languages through open hardware tools,https://ieeexplore.ieee.org/abstract/document/7856072/,Cited by 6,"https://scholar.google.com/scholar?q=related:n2iLvUXXH9EJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",59,"JÁ Ariza - 2016 IEEE 8th International conference on …, 2016 - ieeexplore.ieee.org"
Robex: an open-hardware robotics platform,https://robolab.unex.es/wp-content/papercite-data/pdf/mateos-robex-open-hardware.pdf,Cited by 8,"https://scholar.google.com/scholar?q=related:aP8FMhOy0HIJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",60,"J Mateos, A Sánchez, LJ Manso… - Workshop of Physical …, 2010 - robolab.unex.es"
Autobed: Open hardware for accessible web-based control of an electric bed,https://smartech.gatech.edu/handle/1853/56505,Cited by 8,"https://scholar.google.com/scholar?q=related:sVMMzHLdFY8J:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",61,"PM Grice, Y Chitalia, M Rich, HM Clever, CC Kemp - 2016 - smartech.gatech.edu"
Return on investment for open source scientific hardware development,https://academic.oup.com/spp/article-abstract/43/2/192/2414129,Cited by 111,"https://scholar.google.com/scholar?q=related:WdtcKmpB110J:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",62,"JM Pearce - Science and Public Policy, 2016 - academic.oup.com"
"PriMa: A low-cost, modular, open hardware, and 3D-printed fMRI manipulandum",https://www.sciencedirect.com/science/article/pii/S105381192100495X,,,63,"RS Greulich, T Hüser, M Dörge, H Scherberger - NeuroImage, 2021 - Elsevier"
